"","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency"
"1",1,1,"LeSean McCoy","RB","PHI",7,1,10,2.405405405,2.149285984,1,1,0.233033767682402
"2",2,2,"Jamaal Charles","RB","KC",6,1,13,2.567567568,2.973218663,2,1,0.364148323966054
"3",3,3,"Matt Forte","RB","CHI",9,1,12,3.837837838,2.174962112,4,1,0.285011173676887
"4",4,4,"Calvin Johnson","WR","DET",9,1,8,4.135135135,1.454947982,5,1,0.318715550966392
"5",5,5,"Adrian Peterson","RB","MIN",10,2,11,4.486486486,2.02179505,3,1,0.295099161260319
"6",6,6,"Jimmy Graham","TE","NO",6,4,12,6.702702703,1.768567367,8,1,0.317741514662123
"7",7,7,"Demaryius Thomas","WR","DEN",4,4,16,7.108108108,2.010563774,7,1,0.328491292699264
"8",8,8,"Dez Bryant","WR","DAL",11,3,18,8.054054054,2.347464946,9,1,0.344654176865625
"9",9,9,"Eddie Lacy","RB","GB",9,1,16,9.918918919,3.348080357,6,2,0.264342837273992
"10",10,10,"DeMarco Murray","RB","DAL",11,5,25,12.51351351,4.624386718,15,2,0.359808957600031
"11",11,11,"Montee Ball","RB","DEN",4,6,24,12.64864865,3.706941744,12,2,0.458993371531288
"12",12,12,"A.J. Green","WR","CIN",4,7,29,13.10810811,4.409962823,11,2,0.306502463054187
"13",13,13,"Brandon Marshall","WR","CHI",9,8,25,14.97297297,3.752379328,14,2,0.309706089405138
"14",14,14,"Julio Jones","WR","ATL",9,7,26,15,4.573720468,13,2,0.377001284047417
"15",15,15,"Giovani Bernard","RB","CIN",4,4,31,15.02702703,6.170927857,18,2,0.305493104258247
"16",16,16,"Marshawn Lynch","RB","SEA",4,11,31,16.97297297,5.222024493,16,3,0.276148135019103
"17",17,17,"Antonio Brown","WR","PIT",12,11,35,18.43243243,5.494668377,17,3,0.305087321204264
"18",18,18,"Andre Ellington","RB","ARI",4,10,37,18.72972973,4.694151903,24,3,0.382475587226181
"19",19,19,"Jordy Nelson","WR","GB",9,14,34,19.75675676,4.49868092,20,3,0.390800714507611
"20",20,20,"Doug Martin","RB","TB",7,5,48,22.62162162,9.341425759,22,4,0.337283005938785
"21",21,21,"Alshon Jeffery","WR","CHI",9,14,52,24.13513514,7.491119651,23,4,0.449163326334543
"22",22,22,"Le'Veon Bell","RB","PIT",12,9,46,24.16216216,8.429400009,29,4,0.197802197802198
"23",23,23,"Arian Foster","RB","HOU",10,9,81,25.40540541,12.33640944,26,4,0.273183325637042
"24",24,24,"Randall Cobb","WR","GB",9,16,41,27.02702703,5.548247771,25,4,0.434295424975438
"25",25,25,"Zac Stacy","RB","STL",4,13,53,27.40540541,9.098439009,32,4,0.323927820431317
"26",26,26,"Reggie Bush","RB","DET",9,9,44,28.27027027,8.122869446,33,4,0.347623257968085
"27",27,27,"Rob Gronkowski","TE","NE",10,18,71,31.51351351,9.18465707,31,5,0.372971982194292
"28",28,28,"Peyton Manning","QB","DEN",4,18,63,31.97297297,7.463375392,10,5,0.199594017094018
"29",29,29,"Andre Johnson","WR","HOU",10,19,59,32.2972973,9.934555758,37,5,0.371573738443367
"30",30,30,"Pierre Garcon","WR","WAS",10,14,54,32.81081081,8.87096033,38,5,0.427826993225638
"31",31,31,"Julius Thomas","TE","DEN",4,18,66,34,9.591663047,27,5,0.460984393757503
"32",32,32,"Vincent Jackson","WR","TB",7,23,48,34.05405405,5.876871506,35,5,0.410103963612736
"33",33,33,"Keenan Allen","WR","SD",10,17,55,34.78378378,8.077781121,28,5,0.383110542442507
"34",34,34,"Aaron Rodgers","QB","GB",9,30,45,36.16216216,3.349171043,21,5,0.20489893305303
"35",35,35,"Drew Brees","QB","NO",6,26,47,36.2972973,4.969446458,19,5,0.208303440945928
"36",36,36,"Roddy White","WR","ATL",9,20,90,36.32432432,12.37271203,36,5,0.38824930888986
"37",37,37,"Victor Cruz","WR","NYG",8,20,70,37.21621622,11.37359468,41,5,0.422142043296619
"38",38,38,"Shane Vereen","RB","NE",10,17,78,37.54054054,13.01474132,30,5,0.464807692307692
"39",39,39,"Ryan Mathews","RB","SD",10,17,58,38.94594595,11.27049711,51,6,0.303357199984767
"40",40,40,"Alfred Morris","RB","WAS",10,19,49,39.05405405,8.7763378,34,6,0.259014238773275
"41",41,41,"Rashad Jennings","RB","NYG",8,17,60,41.2972973,8.812966077,39,6,0.51904912836767
"42",42,42,"Larry Fitzgerald","WR","ARI",4,27,75,41.97297297,11.45729199,42,6,0.386453374140407
"43",43,43,"C.J. Spiller","RB","BUF",9,16,83,42.81081081,12.71057835,43,6,0.445564764970046
"44",44,44,"Michael Crabtree","WR","SF",8,7,84,43.89189189,14.83382509,48,6,0.420718537006815
"45",45,45,"Joique Bell","RB","DET",9,20,86,46.2972973,13.55442456,49,7,0.389313605570192
"46",46,46,"Toby Gerhart","RB","JAC",11,21,77,47.43243243,12.2970894,44,7,0.57057057057057
"47",47,47,"Michael Floyd","WR","ARI",4,20,85,49.02702703,12.25072858,45,7,0.440381350398328
"48",48,48,"Cordarrelle Patterson","WR","MIN",10,32,93,50.56756757,12.06634932,40,7,0.513078592092575
"49",49,49,"Ben Tate","RB","CLE",4,27,76,54,11.47029065,62,8,0.496485751014207
"50",50,50,"Torrey Smith","WR","BAL",11,28,75,54.10810811,11.3155807,58,8,0.45026404897758
"51",51,51,"Matthew Stafford","QB","DET",9,35,73,55.2972973,7.421170829,52,8,0.226615928388608
"52",52,52,"Ray Rice","RB","BAL",11,36,90,55.67567568,13.24009891,54,8,0.338644264194668
"53",53,53,"Kendall Wright","WR","TEN",9,36,88,56.7027027,11.6662249,67,8,0.307909152064581
"54",54,54,"Pierre Thomas","RB","NO",6,32,120,56.89189189,15.57680844,59,8,0.375699397483514
"55",55,55,"Percy Harvin","WR","SEA",4,32,129,59,18.16887746,47,8,0.38705244773206
"56",56,56,"Julian Edelman","WR","NE",10,38,113,59.40540541,17.01106073,50,8,0.552003006597812
"57",57,57,"Chris Johnson","RB","NYJ",11,26,101,59.56756757,12.51062368,60,8,0.350540783438701
"58",58,58,"Jordan Cameron","TE","CLE",4,30,150,62.94594595,22.41855644,53,9,0.597247224722472
"59",59,59,"Mike Wallace","WR","MIA",5,36,87,64.08108108,11.89907645,77,9,0.387962747831475
"60",60,60,"Andrew Luck","QB","IND",10,44,90,65.16216216,10.41961122,56,9,0.228755760368664
"61",61,61,"Marques Colston","WR","NO",6,26,90,65.48648649,13.37933385,68,9,0.384498221678509
"62",62,62,"DeSean Jackson","WR","WAS",10,53,96,65.72972973,11.73962716,61,9,0.392950783933632
"63",63,63,"Ty Hilton","WR","IND",10,38,94,65.83783784,14.20223339,57,9,0.468011152075423
"64",64,64,"Frank Gore","RB","SF",8,49,131,65.89189189,14.59689672,55,9,0.289682238738056
"65",65,65,"Eric Decker","WR","NYJ",11,44,96,67.97297297,12.75017008,83,9,0.466385563259683
"66",66,66,"Wes Welker","WR","DEN",4,27,229,69.05405405,35.70142396,70,9,0.32117344449027
"67",67,67,"Emmanuel Sanders","WR","DEN",4,40,101,75.2972973,15.40071052,46,10,0.399061464850938
"68",68,68,"Matt Ryan","QB","ATL",9,61,120,75.62162162,11.39072964,69,10,0.207302836242906
"69",69,69,"Danny Woodhead","RB","SD",10,22,125,76.16216216,21.24950049,74,10,0.405072619688005
"70",70,70,"Reggie Wayne","WR","IND",10,45,124,76.27027027,18.32241081,80,10,0.323550112612612
"71",41,41,"Larry Fitzgerald","WR","ARI",4,30,70,41.50980392,7.739312806,34,11,0.386453374140407
"72",42,42,"Rashad Jennings","RB","NYG",8,15,105,41.66666667,13.03790352,47,11,0.51904912836767
"73",43,43,"Reggie Bush","RB","DET",9,19,74,42.74509804,10.93984109,33,11,0.347623257968085
"74",44,44,"Frank Gore","RB","SF",8,32,66,46.70588235,8.044713567,48,11,0.289682238738056
