"","X","List","Rank","Player_Name","Position","Team","Bye_Week","Best_Rank","Worst_Rank","Ave_Rank","Std_Dev","ADP","Tier","Consistency","FPTS","FPTSperG"
"1",1,1,1,"LeSean McCoy","RB","PHI",7,1,10,2.405405405,2.149285984,1,1,0.233033768,254.4,15.9
"2",2,2,2,"Jamaal Charles","RB","KC",6,1,13,2.567567568,2.973218663,2,1,0.364148324,259.8,16.2
"3",3,3,3,"Matt Forte","RB","CHI",9,1,12,3.837837838,2.174962112,4,1,0.285011174,241.7,15.1
"4",4,4,4,"Calvin Johnson","WR","DET",9,1,8,4.135135135,1.454947982,5,1,0.318715551,229.7,14.4
"5",5,5,5,"Adrian Peterson","RB","MIN",10,2,11,4.486486486,2.02179505,3,1,0.295099161,237.1,14.8
"6",6,6,6,"Jimmy Graham","TE","NO",6,4,12,6.702702703,1.768567367,8,1,0.317741515,195.4,12.2
"7",7,7,7,"Demaryius Thomas","WR","DEN",4,4,16,7.108108108,2.010563774,7,1,0.328491293,219.4,13.7
"8",8,8,8,"Dez Bryant","WR","DAL",11,3,18,8.054054054,2.347464946,9,1,0.344654177,200.9,12.6
"9",9,9,9,"Eddie Lacy","RB","GB",9,1,16,9.918918919,3.348080357,6,2,0.264342837,218.1,13.6
"10",10,10,10,"DeMarco Murray","RB","DAL",11,5,25,12.51351351,4.624386718,15,2,0.359808958,206.6,12.9
"11",11,11,11,"Montee Ball","RB","DEN",4,6,24,12.64864865,3.706941744,12,2,0.458993372,207.7,13
"12",12,12,12,"A.J. Green","WR","CIN",4,7,29,13.10810811,4.409962823,11,2,0.306502463,194.5,12.2
"13",13,13,13,"Brandon Marshall","WR","CHI",9,8,25,14.97297297,3.752379328,14,2,0.309706089,189.7,11.9
"14",14,14,14,"Julio Jones","WR","ATL",9,7,26,15,4.573720468,13,2,0.377001284,200.9,12.6
"15",15,15,15,"Giovani Bernard","RB","CIN",4,4,31,15.02702703,6.170927857,18,2,0.305493104,199.6,12.5
"16",16,16,16,"Marshawn Lynch","RB","SEA",4,11,31,16.97297297,5.222024493,16,3,0.276148135,202.6,12.7
"17",17,17,17,"Antonio Brown","WR","PIT",12,11,35,18.43243243,5.494668377,17,3,0.305087321,184.7,11.5
"18",18,18,18,"Andre Ellington","RB","ARI",4,10,37,18.72972973,4.694151903,24,3,0.382475587,180.7,11.3
"19",19,19,19,"Jordy Nelson","WR","GB",9,14,34,19.75675676,4.49868092,20,3,0.390800715,186.3,11.6
"20",20,20,20,"Doug Martin","RB","TB",7,5,48,22.62162162,9.341425759,22,4,0.337283006,199.8,12.5
"21",21,21,21,"Alshon Jeffery","WR","CHI",9,14,52,24.13513514,7.491119651,23,4,0.449163326,184.8,11.6
"22",22,22,22,"Le'Veon Bell","RB","PIT",12,9,46,24.16216216,8.429400009,29,4,0.197802198,193.4,12.1
"23",23,23,23,"Arian Foster","RB","HOU",10,9,81,25.40540541,12.33640944,26,4,0.273183326,188.1,11.8
"24",24,24,24,"Randall Cobb","WR","GB",9,16,41,27.02702703,5.548247771,25,4,0.434295425,173.4,10.8
"25",25,25,25,"Zac Stacy","RB","STL",4,13,53,27.40540541,9.098439009,32,4,0.32392782,191.4,12
"26",26,26,26,"Reggie Bush","RB","DET",9,9,44,28.27027027,8.122869446,33,4,0.347623258,167.4,10.5
"27",27,27,27,"Rob Gronkowski","TE","NE",10,18,71,31.51351351,9.18465707,31,5,0.372971982,150.9,9.4
"28",28,28,28,"Peyton Manning","QB","DEN",4,18,63,31.97297297,7.463375392,10,5,0.199594017,363.4,22.7
"29",29,29,29,"Andre Johnson","WR","HOU",10,19,59,32.2972973,9.934555758,37,5,0.371573738,162.4,10.2
"30",30,30,30,"Pierre Garcon","WR","WAS",10,14,54,32.81081081,8.87096033,38,5,0.427826993,149.7,9.4
"31",31,31,31,"Julius Thomas","TE","DEN",4,18,66,34,9.591663047,27,5,0.460984394,158.2,9.9
"32",32,32,32,"Vincent Jackson","WR","TB",7,23,48,34.05405405,5.876871506,35,5,0.410103964,166.5,10.4
"33",33,33,33,"Keenan Allen","WR","SD",10,17,55,34.78378378,8.077781121,28,5,0.383110542,155.5,9.7
"34",34,34,34,"Aaron Rodgers","QB","GB",9,30,45,36.16216216,3.349171043,21,5,0.204898933,345.6,21.6
"35",35,35,35,"Drew Brees","QB","NO",6,26,47,36.2972973,4.969446458,19,5,0.208303441,336,21
"36",36,36,36,"Roddy White","WR","ATL",9,20,90,36.32432432,12.37271203,36,5,0.388249309,152.1,9.5
"37",37,37,37,"Victor Cruz","WR","NYG",8,20,70,37.21621622,11.37359468,41,5,0.422142043,151,9.4
"38",38,38,38,"Shane Vereen","RB","NE",10,17,78,37.54054054,13.01474132,30,5,0.464807692,160.9,10.1
"39",39,39,39,"Ryan Mathews","RB","SD",10,17,58,38.94594595,11.27049711,51,6,0.3033572,168.8,10.6
"40",40,40,40,"Alfred Morris","RB","WAS",10,19,49,39.05405405,8.7763378,34,6,0.259014239,188.9,11.8
"41",41,41,41,"Rashad Jennings","RB","NYG",8,17,60,41.2972973,8.812966077,39,6,0.519049128,161.3,10.1
